"PN","DN","D","C1","B1","K","L","BoltCount"
"Pn_10","10","90.0","14.0","18.0","60.0","14.0","4"
"Pn_10","15","95.0","14.0","22.0","65.0","14.0","4"
"Pn_10","20","105.0","16.0","27.5","75.0","14.0","4"
"Pn_10","25","115.0","16.0","34.5","85.0","14.0","4"
"Pn_10","32","140.0","18.0","43.5","100.0","18.0","4"
"Pn_10","40","150.0","18.0","49.5","110.0","18.0","4"
"Pn_10","50","165.0","20.0","61.5","125.0","18.0","4"
"Pn_10","65","185.0","20.0","77.5","145.0","18.0","8"
"Pn_10","80","200.0","20.0","90.5","160.0","18.0","8"
"Pn_10","100","220.0","22.0","116.0","180.0","18.0","8"
"Pn_10","125","250.0","22.0","141.5","210.0","18.0","8"
"Pn_10","150","285.0","24.0","170.5","240.0","22.0","8"
"Pn_10","200","340.0","24.0","221.5","295.0","22.0","8"
"Pn_10","250","395.0","26.0","276.5","350.0","22.0","12"
"Pn_10","300","445.0","26.0","327.5","400.0","22.0","12"
"Pn_10","350","505.0","26.0","359.5","460.0","22.0","16"
"Pn_10","400","565.0","26.0","411.0","515.0","26.0","16"
"Pn_10","450","615.0","28.0","462.0","565.0","26.0","20"
"Pn_10","500","670.0","28.0","513.5","620.0","26.0","20"
"Pn_10","600","780.0","30.0","616.5","725.0","30.0","20"
"Pn_10","700","895.0","35.0",,"840.0","30.0","24"
"Pn_10","800","1015.0","38.0",,"950.0","33.0","24"
"Pn_10","900","1115.0","38.0",,"1050.0","33.0","28"
"Pn_10","1000","1230.0","44.0",,"1160.0","36.0","28"
"Pn_10","1200","1455.0","55.0",,"1380.0","39.0","32"
"Pn_10","1400","1675.0","65.0",,"1590.0","42.0","36"
"Pn_10","1600","1915.0","75.0",,"1820.0","48.0","40"
"Pn_10","1800","2115.0","85.0",,"2020.0","48.0","44"
"Pn_10","2000","2325.0","90.0",,"2230.0","48.0","48"
"Pn_10","2200","2550.0","100.0",,"2440.0","56.0","52"
"Pn_10","2400","2760.0","110.0",,"2650.0","56.0","56"
"Pn_10","2600","2960.0","110.0",,"2850.0","56.0","60"
"Pn_10","2800","3180.0","124.0",,"3070.0","56.0","64"
"Pn_10","3000","3405.0","132.0",,"3290.0","62.0","68"
"Pn_16","10","90.0","14.0","18.0","60.0","14.0","4"
"Pn_16","15","95.0","14.0","22.0","65.0","14.0","4"
